SID,PC1,PC2,chr
SRR4292199.bam,-0.103172,-0.131474,9
SRR4292200.bam,-0.284414,-0.11807,9
SRR4292201.bam,0.0202723,0.114857,9
SRR4292202.bam,-0.152917,0.0539284,9
SRR4292203.bam,-0.253419,-0.0941784,9
SRR4292204.bam,0.03544,0.0512589,9
SRR4292205.bam,-0.103779,-0.133412,9
SRR4292207.bam,0.0235569,-0.0485823,9
SRR4292208.bam,-0.244472,-0.0871674,9
SRR4292209.bam,-0.125781,0.170524,9
SRR4292210.bam,-0.0161193,-0.080529,9
SRR4292211.bam,-0.228741,-0.0978388,9
SRR4292212.bam,0.165308,0.0185396,9
SRR4292213.bam,0.192802,-0.159314,9
SRR4292214.bam,0.220559,-0.0930318,9
SRR4292215.bam,0.0745576,-0.0141807,9
SRR4292216.bam,0.0131582,-0.0929658,9
SRR4292217.bam,-0.0944985,-0.0127687,9
SRR4292218.bam,0.222001,-0.0275824,9
SRR4292219.bam,0.0759945,0.0601408,9
SRR4292220.bam,0.187587,-0.1831,9
SRR4292221.bam,-0.0413729,0.408776,9
SRR4292222.bam,-0.0622158,0.469476,9
SRR4292223.bam,0.0321449,-0.100448,9
SRR4292224.bam,0.0780007,0.217131,9
SRR4292225.bam,0.0783668,0.234951,9
SRR4292226.bam,-0.13228,0.181078,9
SRR4292227.bam,-0.131919,0.00422826,9
SRR4292228.bam,-0.283567,-0.10875,9
SRR4292229.bam,0.0184073,0.00607245,9
SRR4292230.bam,0.163779,-0.156396,9
SRR4292182.bam,-0.0164704,0.11842,10
SRR4292183.bam,-0.15573,-0.0745187,10
SRR4292184.bam,-0.156284,-0.013911,10
SRR4292185.bam,0.134137,0.10087,10
SRR4292186.bam,0.0314647,-0.131143,10
SRR4292187.bam,0.266066,-0.131218,10
SRR4292188.bam,0.136692,0.283966,10
SRR4292189.bam,0.0298583,-0.133214,10
SRR4292190.bam,0.207711,-0.17739,10
SRR4292191.bam,0.106916,0.235711,10
SRR4292192.bam,0.00345328,-0.000467334,10
SRR4292193.bam,0.224702,-0.18701,10
SRR4292194.bam,-0.173694,0.118285,10
SRR4292195.bam,0.0027807,0.215297,10
SRR4292196.bam,0.162819,0.0327889,10
SRR4292197.bam,0.265951,-0.197793,10
SRR4292198.bam,0.134196,0.270339,10
SRR4292199.bam,-0.169085,-0.0272966,10
SRR4292200.bam,-0.128958,-0.147972,10
SRR4292201.bam,0.0207298,0.0187723,10
SRR4292202.bam,-0.162637,-0.0368997,10
SRR4292203.bam,-0.161566,-0.0121279,10
SRR4292204.bam,-0.0164194,0.123303,10
SRR4292205.bam,-0.160541,-0.0858723,10
SRR4292207.bam,-0.15509,-0.0739581,10
SRR4292208.bam,-0.16264,-0.0140602,10
SRR4292209.bam,-0.0150221,0.117884,10
SRR4292210.bam,-0.14856,-0.13142,10
SRR4292211.bam,-0.157651,-0.0119723,10
SRR4292212.bam,0.12937,0.10009,10
SRR4292213.bam,0.0338255,-0.130107,10
SRR4292214.bam,0.255069,-0.154507,10
SRR4292215.bam,0.12632,0.251933,10
SRR4292216.bam,0.0202919,-0.114238,10
SRR4292217.bam,-0.160485,-0.0254121,10
SRR4292218.bam,0.0895081,-0.202492,10
SRR4292219.bam,0.11608,0.267557,10
SRR4292220.bam,0.00412375,0.00477928,10
SRR4292221.bam,0.0954343,-0.181797,10
SRR4292222.bam,0.140836,0.261872,10
SRR4292223.bam,0.167368,0.0343016,10
SRR4292224.bam,0.218672,-0.184625,10
SRR4292225.bam,-0.0140357,0.178767,10
SRR4292226.bam,-0.137086,0.0138471,10
SRR4292227.bam,-0.136618,-0.124243,10
SRR4292228.bam,-0.168952,0.120457,10
SRR4292229.bam,-0.163318,0.111881,10
SRR4292230.bam,-0.158384,-0.0739853,10
SRR4292182.bam,-0.17422,0.0656569,11
SRR4292183.bam,0.0889437,0.0802723,11
SRR4292184.bam,-0.164665,0.0374368,11
SRR4292185.bam,-0.176701,0.0675697,11
SRR4292186.bam,-0.149073,0.0342191,11
SRR4292187.bam,0.0926425,0.0971764,11
SRR4292188.bam,0.0958538,-0.427099,11
SRR4292189.bam,0.111526,0.0770421,11
SRR4292190.bam,0.0901007,0.0982466,11
SRR4292191.bam,-0.0134394,-0.248882,11
SRR4292192.bam,0.0942074,0.0843138,11
SRR4292193.bam,0.324057,0.0896755,11
SRR4292194.bam,0.313683,0.0889052,11
SRR4292195.bam,-0.157248,-0.0238612,11
SRR4292196.bam,0.0215359,-0.0542824,11
SRR4292197.bam,0.0955308,0.102647,11
SRR4292198.bam,-0.0243468,-0.256535,11
SRR4292199.bam,-0.172102,0.0373909,11
SRR4292200.bam,-0.163353,0.0345552,11
SRR4292201.bam,-0.174179,0.0800436,11
SRR4292202.bam,0.0909578,0.0856123,11
SRR4292203.bam,0.0940476,0.0786491,11
SRR4292204.bam,-0.165414,0.0646295,11
SRR4292205.bam,-0.173662,0.0368525,11
SRR4292207.bam,0.0922958,0.0865533,11
SRR4292208.bam,0.0935347,0.0771676,11
SRR4292209.bam,-0.16196,0.0379708,11
SRR4292210.bam,0.0490773,-0.297765,11
SRR4292211.bam,0.0948395,0.0786669,11
SRR4292212.bam,-0.171512,0.0653035,11
SRR4292213.bam,0.0968345,0.0815507,11
SRR4292214.bam,0.0959494,0.100733,11
SRR4292215.bam,-0.0230803,-0.258238,11
SRR4292216.bam,0.109206,0.0755268,11
SRR4292217.bam,0.20418,-0.106038,11
SRR4292218.bam,-0.16172,0.0727662,11
SRR4292219.bam,0.0841674,-0.379612,11
SRR4292220.bam,0.0965819,0.0832886,11
SRR4292221.bam,-0.159619,0.0655185,11
SRR4292222.bam,-0.00913737,-0.286061,11
SRR4292223.bam,0.319917,0.0893426,11
SRR4292224.bam,0.0947786,0.086434,11
SRR4292225.bam,-0.02402,-0.254019,11
SRR4292226.bam,-0.172013,0.0797033,11
SRR4292227.bam,-0.0484915,-0.167245,11
SRR4292228.bam,-0.165244,0.0403146,11
SRR4292229.bam,-0.172945,0.0639826,11
SRR4292230.bam,0.08919,0.069526,11
SRR4292182.bam,-0.262013,-0.167612,12
SRR4292183.bam,-0.0641554,0.0116429,12
SRR4292184.bam,0.122676,0.342736,12
SRR4292185.bam,-0.268208,-0.141027,12
SRR4292186.bam,0.127227,0.0528204,12
SRR4292187.bam,0.128018,-0.147037,12
SRR4292188.bam,-0.0629226,-0.0510303,12
SRR4292189.bam,0.124989,0.00387239,12
SRR4292190.bam,0.127273,-0.132315,12
SRR4292191.bam,0.122212,-0.0893615,12
SRR4292192.bam,0.130987,-0.0078642,12
SRR4292193.bam,0.133262,-0.149341,12
SRR4292194.bam,-0.0704727,0.0342153,12
SRR4292195.bam,0.131073,-0.0890562,12
SRR4292196.bam,0.123027,0.000830727,12
SRR4292197.bam,0.134613,-0.076002,12
SRR4292198.bam,0.129362,-0.0730221,12
SRR4292199.bam,-0.0817713,0.0713229,12
SRR4292200.bam,0.12423,0.40178,12
SRR4292201.bam,-0.0789382,-0.129594,12
SRR4292202.bam,-0.246796,0.0232026,12
SRR4292203.bam,0.120954,0.148615,12
SRR4292204.bam,-0.0749789,-0.142397,12
SRR4292205.bam,-0.0817603,0.0298366,12
SRR4292207.bam,-0.245297,0.170169,12
SRR4292208.bam,-0.0716577,0.300957,12
SRR4292209.bam,-0.25223,-0.129479,12
SRR4292210.bam,0.117362,0.248597,12
SRR4292211.bam,-0.230961,0.352418,12
SRR4292212.bam,0.117748,-0.158538,12
SRR4292213.bam,0.126631,-0.00515109,12
SRR4292214.bam,0.131941,-0.0992827,12
SRR4292215.bam,-0.0626011,-0.0533523,12
SRR4292216.bam,0.129907,0.042594,12
SRR4292217.bam,-0.0702828,0.171869,12
SRR4292218.bam,0.12869,-0.125764,12
