Results of differential gene expression analysis for cricket responses to larval infestation. Positional information for genes is given in 'Infestation_annotation' tab,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
726.1202236,0.058270586,0.103790236,0.56142647,0.574506844,0.832857547,TOC.1T.00290
115.5316684,-0.086793856,0.220306703,-0.393968294,0.693604448,0.894051836,TOC.1T.00292
253.3051116,-0.169882789,0.112068922,-1.515877781,0.12955026,0.434128081,TOC.1T.00293
982.5062181,0.372039456,0.127648254,2.914567519,0.003561818,0.044770439,TOC.1T.00295
15.72802882,-1.57097766,0.830383139,-1.891870856,0.05850819,0.279884937,TOC.1T.00296
210.9057117,0.440496418,0.173781315,2.53477434,0.011251978,0.100337445,TOC.1T.00298
5353.399207,-0.131477221,0.104518062,-1.257937802,0.208414251,0.542447468,TOC.1T.00294
547.5222304,0.119706566,0.123608106,0.968436208,0.332826564,0.671077306,TOC.1T.00297
429.4443481,-0.204052852,0.139173689,-1.466174052,0.142600876,0.455465131,TOC.1T.00300
430.4120741,0.163548707,0.169150363,0.966883568,0.333602242,0.671215641,TOC.1T.00308
573.0586025,-0.063813005,0.153538635,-0.415615295,0.677691533,0.885739184,TOC.1T.00299
64.18421621,0.191170669,0.213624006,0.894893191,0.370844187,0.703703633,TOC.1T.00311
0,NA,NA,NA,NA,NA,TOC.1T.00312
139.9741947,-0.049176473,0.146041111,-0.336730338,0.736320191,0.912063188,TOC.1T.00310
1.814632246,-0.764249839,1.087617135,-0.702682786,0.482253458,NA,TOC.1T.00314
0,NA,NA,NA,NA,NA,TOC.1T.00309
20.52200517,-1.809079188,1.369350075,-1.321122495,0.186460523,0.516085066,TOC.1T.00315
81.38597147,0.090985115,0.206090319,0.441481751,0.65886427,0.876693936,TOC.1T.00316
437.1627214,0.451233166,0.264326707,1.707103956,0.087802732,0.353420011,TOC.1T.00317
172.6003026,0.025337888,0.184877631,0.137052213,0.890989525,0.967843884,TOC.1T.00318
37.10845221,-1.141685003,0.461396921,-2.474409673,0.013345656,0.111972903,TOC.1T.00322
802.6418378,-0.690868612,0.199266675,-3.467055451,0.000526193,0.010727606,TOC.1T.00319
153.0816856,0.269072685,0.185161469,1.453178601,0.146174172,0.46215919,TOC.1T.00320
317.0518256,-0.353495921,0.150622046,-2.346906916,0.018929983,0.138511224,TOC.1T.00323
257.9001472,0.234506803,0.130610052,1.79547286,0.072578393,0.316899585,TOC.1T.00329
122.4134184,-0.024564324,0.174479116,-0.140786616,0.888038517,0.967011273,TOC.1T.00330
1382.849283,-0.345805086,0.270823672,-1.276864325,0.201650151,0.534986931,TOC.1T.00331
178.8445822,-0.382785379,0.167771714,-2.281584723,0.02251387,0.155026505,TOC.1T.00332
18.34489949,0.612773149,1.321867993,0.463566069,0.642958669,0.867877571,TOC.1T.00333
0.613200083,-2.619425389,3.682792857,-0.711260582,0.476922774,NA,TOC.1T.00334
362.5520965,0.20946542,0.144658002,1.448004376,0.147615827,0.463556194,TOC.1T.00338
111.3713937,-0.311975623,0.202307804,-1.542083977,0.123053188,0.424262268,TOC.1T.00339
559.2983541,-0.478651896,0.331398062,-1.444341263,0.148643004,0.464550529,TOC.1T.00340
6.706648176,0.003080281,0.441330292,0.006979536,0.994431181,0.997298214,TOC.1T.00343
113.9536465,0.072007896,0.182984221,0.393519701,0.693935676,0.894094001,TOC.1T.00342
4732.042238,-0.217192231,0.343231483,-0.632786446,0.526873109,0.807888209,TOC.1T.00341
12.65139554,0.10696538,1.55136606,0.068949156,0.945030091,0.984736929,TOC.1T.00344
1672.246553,0.478425189,0.130364581,3.669901639,0.000242644,0.005900215,TOC.1T.00345
478.4386082,-0.139871118,0.124181049,-1.126348334,0.260018107,0.60153644,TOC.1T.00346
4.617921499,-0.139643422,0.766018523,-0.18229771,0.855349096,NA,TOC.1T.00353
0,NA,NA,NA,NA,NA,TOC.1T.00355
0,NA,NA,NA,NA,NA,TOC.1T.00351
138.0959811,0.359543156,0.214927758,1.672855843,0.094355678,0.368764711,TOC.1T.00350
27.98444728,-0.010364952,0.372108028,-0.027854686,0.977778049,0.995875903,TOC.1T.00352
65.90154392,1.562574832,0.600438481,2.602389555,0.009257663,0.088437131,TOC.1T.00349
9.672769152,0.254526957,1.026992071,0.247837315,0.804260282,0.938646016,TOC.1T.00360
1.392381006,0.90027509,3.610322016,0.249361438,0.803081211,NA,TOC.1T.00359
0,NA,NA,NA,NA,NA,TOC.1T.00363
76.3874851,-0.389406349,0.483666866,-0.805112725,0.420754633,0.739920327,TOC.1T.00361
22.44154766,-0.568316933,0.940869134,-0.604033986,0.545821047,0.817675267,TOC.1T.00370
248.8424726,0.182174657,0.266839778,0.682711771,0.494788991,0.789246406,TOC.1T.00365
81.78650318,0.097206876,0.168047222,0.578449765,0.562960504,0.826730403,TOC.1T.00366
46.99600705,2.504214947,1.291075244,1.939635167,0.052424044,0.261819229,TOC.1T.00357
102.2033767,0.248769206,0.230669407,1.078466403,0.280825667,0.62388081,TOC.1T.00372
8.130933442,0.375787787,1.509369225,0.248970087,0.80338392,0.938544422,TOC.1T.00377
208.9645485,-0.302110887,0.16648691,-1.814622467,0.069581947,0.308966327,TOC.1T.00374
260.6600724,0.013086507,0.256162149,0.05108681,0.959256346,0.989244875,TOC.1T.00375
472.146599,0.336002514,0.122578555,2.741119885,0.006123016,0.066685032,TOC.1T.00376
23.01024654,0.43268245,0.874428908,0.494817184,0.620729173,0.857312327,TOC.1T.00381
0.537605936,-2.518826389,3.689481897,-0.682704634,0.494793501,NA,TOC.1T.00379
38.8297265,1.207953613,0.613498557,1.968959175,0.048957779,0.250650061,TOC.1T.00388
268.8808381,0.359117051,0.26428399,1.358830139,0.174200421,0.499304849,TOC.1T.00389
418.3980363,0.106821611,0.131812065,0.810408444,0.417705466,0.737672376,TOC.1T.00390
214.8598213,0.059615928,0.163195096,0.365304655,0.714884004,0.902052898,TOC.1T.00392
15.54578055,-0.769864542,1.210461182,-0.636009278,0.524770375,0.80632801,TOC.1T.00393
285.8858145,0.09049477,0.134149631,0.674580838,0.499942111,0.792326917,TOC.1T.00394
0.464905334,2.755227982,3.664490655,0.751872017,0.452128027,NA,TOC.1T.00398
